id,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.02,Good,D,VS2,63.2,58.0,6.36,6.4,4.03,8.928
1,0.35,Very Good,H,VVS2,61.0,57.0,4.54,4.57,2.77,6.477
2,0.31,Premium,H,VVS1,60.5,58.0,4.43,4.4,2.67,6.81
3,0.38,Ideal,E,VS1,61.4,56.0,4.66,4.69,2.87,6.824
4,1.64,Ideal,G,VVS2,61.8,56.0,7.59,7.6,4.69,9.776
5,1.62,Ideal,H,VS2,62.4,57.0,7.48,7.53,4.68,9.316
6,0.9,Very Good,F,SI1,59.6,63.0,6.24,6.17,3.7,8.292
7,1.1,Ideal,E,SI2,61.6,56.0,6.63,6.66,4.09,8.568
8,0.33,Ideal,G,VS1,62.3,57.0,4.42,4.38,2.74,6.75
9,0.59,Very Good,D,VVS1,61.8,57.0,5.37,5.41,3.33,8.081
10,1.05,Premium,G,SI2,60.7,61.0,6.56,6.52,3.97,8.188
11,0.3,Very Good,E,VS2,62.4,57.0,4.24,4.29,2.66,6.489
12,1.1,Good,H,SI2,57.6,61.0,6.82,6.73,3.9,8.215
13,0.9,Ideal,H,VS1,61.2,57.0,6.28,6.24,3.83,8.31
14,1.02,Very Good,H,SI1,63.4,57.0,6.42,6.36,4.05,8.494
15,0.31,Good,G,VVS2,63.4,59.0,4.26,4.29,2.71,6.561
16,0.71,Ideal,G,VS2,62.1,57.0,5.71,5.63,3.52,7.858
17,1.02,Fair,G,VVS2,64.6,59.0,6.31,6.29,4.07,8.815
18,0.91,Premium,F,SI1,62.1,56.0,6.24,6.2,3.86,8.344
19,0.71,Ideal,F,SI1,60.9,55.0,5.74,5.88,3.54,7.889
20,1.52,Ideal,G,VVS1,62.4,55.0,7.3,7.39,4.58,9.678
21,1.51,Premium,I,VVS2,61.1,60.0,7.33,7.36,4.49,9.271
22,0.24,Very Good,H,VVS1,62.3,56.0,3.99,4.02,2.49,6.107
23,0.31,Ideal,H,VVS2,62.3,55.0,4.37,4.36,2.72,6.687
24,0.9,Good,D,SI1,63.3,57.0,6.07,6.12,3.86,8.385
25,0.3,Premium,F,VVS1,61.8,59.0,4.29,4.26,2.64,7.016
26,1.01,Premium,H,SI2,58.8,58.0,6.62,6.57,3.88,8.353
27,1.24,Premium,H,SI2,62.3,58.0,6.84,6.8,4.25,8.399
28,1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54,9.795
29,0.39,Very Good,E,VS1,60.0,59.0,4.76,4.8,2.87,6.802
30,0.3,Very Good,H,VS1,63.3,57.0,4.25,4.22,2.68,6.515
31,0.75,Very Good,F,SI1,63.4,58.0,5.75,5.79,3.66,7.914
32,1.0,Very Good,F,VS1,62.9,56.0,6.38,6.43,4.03,8.775
33,0.76,Ideal,E,SI2,61.6,55.0,5.87,5.92,3.63,7.894
34,0.93,Premium,E,I1,62.3,60.0,6.2,6.23,3.87,7.872
35,0.91,Premium,G,SI1,61.8,60.0,6.18,6.21,3.83,8.305
36,0.32,Ideal,H,IF,61.8,55.0,4.42,4.45,2.74,6.702
37,0.52,Ideal,G,VVS2,62.1,56.0,5.14,5.17,3.2,7.555
38,0.33,Ideal,F,VVS1,61.3,55.0,4.46,4.48,2.74,6.795
39,1.5,Fair,G,VVS2,64.8,56.0,7.18,7.12,4.63,9.514
40,2.01,Good,H,SI1,62.2,58.0,7.99,8.05,4.99,9.725
41,0.44,Ideal,E,VS2,61.5,56.0,4.9,4.92,3.02,6.911
42,0.23,Very Good,F,VVS1,62.8,54.0,3.92,3.94,2.47,6.368
43,0.31,Very Good,E,SI1,58.3,60.0,4.48,4.51,2.62,6.299
44,0.32,Ideal,D,VVS2,61.7,55.0,4.42,4.39,2.72,6.922
45,2.18,Ideal,I,SI2,61.4,60.0,8.37,8.31,5.12,9.607
46,1.51,Very Good,H,SI1,63.3,57.0,7.23,7.34,4.61,9.216
47,0.31,Ideal,F,IF,62.2,56.0,4.34,4.31,2.69,6.953
48,1.01,Very Good,E,SI1,62.6,57.0,6.36,6.41,4.0,8.499
49,1.22,Ideal,F,VS2,60.7,57.0,6.89,6.94,4.2,9.166
50,0.56,Premium,F,SI2,60.4,60.0,5.35,5.32,3.22,7.159
51,0.55,Ideal,J,SI1,62.5,57.0,5.24,5.22,3.27,6.965
52,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,7.937
53,1.07,Ideal,I,VS1,62.0,57.0,6.5,6.56,4.05,8.558
54,0.4,Ideal,E,SI2,61.8,55.2,4.75,4.77,2.94,6.521
55,0.5,Fair,E,VS1,56.1,64.0,5.31,5.28,2.97,7.576
56,0.82,Ideal,E,SI1,61.8,53.0,6.02,6.05,3.73,8.289
57,0.32,Premium,E,IF,60.0,61.0,4.5,4.46,2.69,6.874
58,0.31,Premium,D,SI2,60.1,60.0,4.38,4.41,2.64,6.136
59,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,8.526
60,0.27,Ideal,F,VVS2,60.0,62.0,4.21,4.22,2.53,6.368
61,0.74,Ideal,G,VVS1,62.1,56.0,5.78,5.82,3.6,8.128
62,1.16,Premium,F,VS2,60.5,59.0,6.86,6.8,4.13,8.662
63,0.31,Ideal,E,VVS2,61.3,55.0,4.35,4.39,2.68,6.673
64,1.0,Good,D,SI1,60.4,64.0,6.3,6.39,3.83,8.518
65,0.41,Ideal,F,VVS1,61.8,54.0,4.78,4.83,2.97,7.101
66,0.43,Good,D,VS2,59.9,61.0,4.84,4.88,2.91,6.883
67,1.24,Ideal,H,SI1,61.6,57.0,6.92,6.84,4.24,8.848
68,0.52,Premium,G,SI1,62.8,61.0,5.14,5.11,3.22,7.199
69,0.52,Premium,G,VS1,62.4,60.0,5.12,5.11,3.19,7.504
70,1.34,Very Good,J,VS1,61.7,59.0,7.03,7.14,4.37,8.738
71,0.91,Very Good,E,SI2,63.0,56.0,6.12,6.16,3.87,8.235
72,1.12,Premium,D,SI2,61.2,60.0,6.67,6.63,4.07,8.581
73,0.52,Ideal,H,VS1,62.0,55.4,5.16,5.21,3.21,7.362
74,1.0,Premium,G,SI1,60.0,62.0,6.48,6.45,3.88,8.34
75,0.35,Good,H,VS2,63.7,57.0,4.53,4.48,2.87,6.564
76,1.31,Ideal,H,VS1,62.5,56.0,6.95,7.03,4.37,9.061
77,0.74,Ideal,F,VS2,61.9,57.0,5.79,5.81,3.59,8.147
78,0.3,Good,D,SI2,63.4,56.0,4.26,4.29,2.71,6.103
79,0.71,Ideal,J,VVS2,60.5,58.0,5.77,5.8,3.5,7.679
80,1.04,Ideal,J,VS2,61.3,54.0,6.53,6.55,4.01,8.423
81,0.55,Ideal,H,VS1,61.2,56.0,5.26,5.3,3.23,7.43
82,1.29,Ideal,H,VS1,61.8,56.0,6.97,7.02,4.32,9.135
83,0.43,Premium,E,SI1,61.5,60.0,4.85,4.78,2.96,6.854
84,1.01,Premium,H,SI2,59.9,59.0,6.51,6.48,3.89,8.353
85,1.7,Ideal,G,VS2,61.3,57.0,7.6,7.67,4.68,9.668
86,0.31,Premium,E,IF,61.0,59.0,4.36,4.39,2.67,6.966
87,0.31,Premium,E,VVS2,61.9,58.0,4.38,4.35,2.7,6.953
88,0.57,Ideal,E,VVS2,61.5,55.9,5.31,5.35,3.28,7.869
89,1.0,Good,I,VVS1,56.5,62.0,6.58,6.55,3.71,8.4
90,0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,6.9
91,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,7.419
92,1.02,Ideal,I,SI1,62.1,56.0,6.44,6.39,3.98,8.22
93,0.33,Ideal,E,VS2,61.9,55.0,4.46,4.49,2.77,6.772
94,0.51,Ideal,G,VVS2,60.1,56.0,5.22,5.19,3.13,7.588
95,0.4,Ideal,E,VVS1,62.6,56.0,4.7,4.73,2.95,7.195
96,0.76,Very Good,J,VS2,61.2,57.0,5.86,5.91,3.6,7.699
97,0.4,Very Good,G,VS1,62.9,54.8,4.71,4.76,2.98,6.758
98,0.6,Ideal,D,VS2,61.5,55.0,5.42,5.45,3.34,7.751
99,2.01,Premium,I,VS2,61.7,60.0,8.09,8.02,4.97,9.723
100,0.4,Ideal,F,VVS1,61.1,56.0,4.78,4.81,2.93,7.554
101,0.41,Premium,D,VVS2,62.5,58.0,4.72,4.75,2.96,7.166
102,0.4,Ideal,E,VS1,62.0,54.0,4.74,4.77,2.95,6.959
103,0.3,Very Good,H,VVS2,63.0,56.0,4.23,4.28,2.68,6.405
